Compresor Aire IngersollRand 185CFM 2 pistolas (incluye combustible),HR,"RD$1,700.00","RD$1,440.68",Consumo: 2.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Minicargador BOBCAT 763G o similar,HR,"RD$1,350.00","RD$1,144.07",Consumo: 2.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Retropala CAT416E o similar,HR,"RD$2,150.00","RD$1,822.03",Consumo: 3.5 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Excavadora CAT320D o Similar 20 Ton con Cubo,HR,"RD$2,500.00","RD$2,118.64",Consumo: 5.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Excavadora CAT330D o Similar 30 Ton con Cubo,HR,"RD$3,500.00","RD$2,966.10",Consumo: 8.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Excavadora CAT320D o Similar 20 Ton con Martillo,HR,"RD$3,500.00","RD$2,966.10",Consumo: 5.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Excavadora CAT330D o Similar 30 Ton con Martillo,HR,"RD$4,700.00","RD$3,983.05",Consumo: 8.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Pala - Cargador Frontal CAT950G,HR,"RD$3,500.00","RD$2,966.10",Consumo: 4.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Rodillo SD-100D o similar de 10 Tons.,HR,"RD$2,800.00","RD$2,372.88",Consumo: 3.5 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Motoniveladora 12H o similar,HR,"RD$4,100.00","RD$3,474.58",Consumo: 6.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Bulldozer CATD6N o similar,HR,"RD$5,100.00","RD$4,322.03",Consumo: 6.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Bulldozer CATD8R o similar,HR,"RD$8,850.00","RD$7,500.00",Consumo: 9.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
Camión Grúa Manitex 25 Tons.,HR,"RD$3,000.00","RD$2,542.37",Consumo: 2.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
**Estos precios no incluyen combustibles ni transportes,,,,,
,,,,,
EQUIPOS PESADOS - TRANSPORTE,,,,,
Transporte Bobcat 763G o similar Sto Dgo,UND,"RD$8,000.00","RD$8,000.00",,Excon S.A. Excavaciones y Mov Tierra
Transporte Retropala CAT416E o similar Sto Dgo,UND,"RD$12,000.00","RD$12,000.00",,Excon S.A. Excavaciones y Mov Tierra
Transporte Excavadora CAT320 o similar Sto Dgo,UND,"RD$12,000.00","RD$12,000.00",,Excon S.A. Excavaciones y Mov Tierra
Transporte Excavadora CAT330 o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
Transporte Pala Frontal CAT950 o similar Sto Dgo,UND,"RD$12,000.00","RD$12,000.00",,Excon S.A. Excavaciones y Mov Tierra
